,Date,Result,FG,FGA,FG3,eFG
74,2019-03-24,L,6,14,0,0.429
72,2019-03-18,W,8,11,1,0.773
71,2019-03-16,L,6,11,0,0.545
69,2019-03-12,L,9,16,1,0.594
68,2019-03-10,L,6,10,3,0.75
66,2019-03-06,L,6,12,0,0.5
65,2019-03-04,W,7,14,1,0.536
63,2019-03-01,W,7,11,1,0.682
62,2019-02-27,L,10,14,0,0.714
61,2019-02-25,L,8,14,0,0.571
59,2019-02-22,L,6,11,0,0.545
58,2019-02-14,W,5,10,1,0.55
57,2019-02-12,L,1,9,0,0.111
56,2019-02-09,L,4,8,0,0.5
55,2019-02-08,W,11,15,0,0.733
45,2019-01-18,L,9,17,0,0.529
44,2019-01-16,L,11,26,1,0.442
43,2019-01-14,W,16,34,2,0.5
42,2019-01-12,L,10,22,2,0.5
41,2019-01-09,W,11,17,1,0.676
40,2019-01-07,W,14,20,0,0.7
39,2019-01-05,W,6,12,0,0.5
38,2019-01-02,L,12,25,2,0.52
36,2018-12-29,L,6,13,2,0.538
35,2018-12-28,W,20,32,0,0.625
34,2018-12-26,L,14,26,1,0.558
33,2018-12-23,L,7,20,1,0.375
32,2018-12-21,L,12,23,1,0.543
31,2018-12-19,L,10,18,4,0.667
30,2018-12-16,L,10,19,2,0.579
29,2018-12-12,W,16,32,1,0.516
28,2018-12-10,L,17,34,0,0.5
27,2018-12-09,W,2,7,0,0.286
26,2018-12-07,L,10,21,0,0.476
25,2018-12-05,W,10,20,2,0.55
24,2018-12-03,L,10,18,0,0.556
23,2018-12-02,W,14,19,2,0.789
22,2018-11-30,L,15,23,2,0.696
21,2018-11-28,W,9,21,2,0.476
20,2018-11-26,L,8,19,0,0.421
18,2018-11-23,L,12,19,1,0.658
17,2018-11-21,L,4,13,0,0.308
16,2018-11-19,W,13,22,0,0.591
15,2018-11-17,W,10,20,0,0.5
14,2018-11-16,W,16,25,1,0.66
13,2018-11-14,L,9,25,2,0.4
12,2018-11-12,W,11,20,1,0.575
11,2018-11-10,W,7,18,0,0.389
10,2018-11-07,W,13,24,2,0.583
9,2018-11-05,L,7,20,0,0.35
8,2018-11-03,L,5,13,0,0.385
6,2018-10-31,L,6,16,1,0.406
3,2018-10-26,W,6,19,1,0.342
2,2018-10-23,W,11,21,2,0.571
1,2018-10-19,W,8,12,1,0.708
0,2018-10-17,W,13,21,0,0.619
163,2018-04-11,W,8,18,0,0.444
162,2018-04-09,W,11,22,0,0.5
161,2018-04-07,W,13,24,0,0.542
160,2018-04-06,W,11,23,2,0.522
159,2018-04-04,W,8,13,1,0.654
158,2018-04-01,L,8,17,0,0.471
157,2018-03-30,L,6,19,0,0.316
156,2018-03-27,L,15,24,0,0.625
155,2018-03-24,L,10,22,1,0.477
154,2018-03-22,W,12,20,0,0.6
153,2018-03-21,W,9,14,1,0.679
152,2018-03-20,W,15,21,2,0.762
151,2018-03-18,W,14,24,0,0.583
150,2018-03-17,L,11,18,0,0.611
149,2018-03-15,L,8,19,0,0.421
148,2018-03-13,W,13,26,0,0.5
147,2018-03-11,L,9,22,1,0.432
145,2018-03-07,W,7,11,2,0.727
144,2018-03-06,W,17,31,4,0.613
143,2018-03-04,W,9,19,0,0.474
142,2018-02-28,W,9,19,0,0.474
141,2018-02-26,W,16,29,0,0.552
140,2018-02-25,W,12,26,0,0.462
139,2018-02-23,W,17,34,1,0.515
138,2018-02-14,W,15,18,2,0.889
137,2018-02-12,W,14,24,3,0.646
136,2018-02-10,W,16,35,3,0.5
135,2018-02-09,L,6,19,0,0.316
134,2018-02-05,L,6,16,0,0.375
133,2018-02-03,L,16,30,1,0.55
132,2018-02-02,W,17,34,3,0.544
131,2018-01-30,L,6,16,2,0.438
130,2018-01-28,L,8,17,0,0.471
129,2018-01-26,W,10,22,0,0.455
128,2018-01-24,W,7,16,0,0.438
127,2018-01-22,W,14,23,0,0.609
126,2018-01-20,W,7,13,0,0.538
125,2018-01-17,L,2,8,0,0.25
124,2018-01-16,W,16,34,0,0.471
123,2018-01-14,W,17,30,2,0.6
122,2018-01-12,W,16,23,0,0.696
120,2018-01-08,W,12,14,1,0.893
119,2018-01-06,L,5,12,0,0.417
118,2018-01-03,W,11,26,1,0.442
117,2017-12-30,L,11,24,0,0.458
116,2017-12-29,L,12,22,1,0.568
115,2017-12-27,W,11,19,4,0.684
114,2017-12-23,W,5,11,1,0.5
113,2017-12-22,W,10,14,0,0.714
112,2017-12-19,L,11,21,1,0.548
111,2017-12-15,L,12,22,0,0.545
110,2017-12-13,W,10,16,0,0.625
108,2017-12-10,W,11,19,1,0.605
107,2017-12-08,L,5,12,0,0.417
103,2017-12-01,L,9,14,0,0.643
102,2017-11-29,L,7,13,0,0.538
101,2017-11-25,L,12,22,0,0.545
100,2017-11-24,W,9,12,0,0.75
99,2017-11-22,W,11,17,0,0.647
98,2017-11-20,W,9,19,0,0.474
97,2017-11-17,L,7,11,0,0.636
96,2017-11-15,L,8,15,1,0.567
95,2017-11-13,W,5,7,0,0.714
94,2017-11-11,W,9,15,0,0.6
93,2017-11-09,L,6,14,1,0.464
92,2017-11-07,W,14,18,4,0.889
91,2017-11-04,W,11,17,1,0.676
90,2017-11-03,W,10,19,0,0.526
89,2017-11-01,L,8,18,0,0.444
88,2017-10-30,L,13,20,0,0.65
87,2017-10-28,W,11,22,2,0.545
85,2017-10-24,L,1,2,0,0.5
84,2017-10-22,W,9,18,1,0.528
83,2017-10-20,L,15,21,3,0.786
82,2017-10-18,L,9,23,1,0.413
242,2017-04-07,L,11,27,0,0.407
241,2017-04-04,L,18,31,2,0.613
240,2017-04-02,L,8,19,1,0.447
239,2017-03-31,W,9,19,0,0.474
238,2017-03-29,W,11,22,0,0.5
237,2017-03-27,L,12,23,1,0.543
236,2017-03-26,W,12,17,1,0.735
235,2017-03-24,L,14,24,0,0.583
234,2017-03-21,W,9,18,0,0.5
233,2017-03-19,W,11,16,0,0.688
