,Date,Result,FG,FGA,FG3,eFG
81,2019-04-09,L,8,10,0,0.8
80,2019-04-07,W,7,9,0,0.778
79,2019-04-05,W,5,7,0,0.714
78,2019-04-03,W,11,17,0,0.647
77,2019-04-02,W,3,5,0,0.6
76,2019-03-30,W,10,13,0,0.769
75,2019-03-28,W,8,13,0,0.615
74,2019-03-26,L,8,11,0,0.727
73,2019-03-24,W,3,4,0,0.75
72,2019-03-22,W,3,8,0,0.375
71,2019-03-20,L,5,7,0,0.714
70,2019-03-19,W,11,13,0,0.846
69,2019-03-17,W,8,11,0,0.727
68,2019-03-15,W,6,9,0,0.667
67,2019-03-13,L,6,9,0,0.667
66,2019-03-11,W,8,12,0,0.667
65,2019-03-10,W,6,9,0,0.667
64,2019-03-08,W,8,12,0,0.667
63,2019-03-05,W,4,7,0,0.571
62,2019-03-03,W,3,4,0,0.75
61,2019-02-28,W,2,2,0,1.0
60,2019-02-27,W,10,16,0,0.625
59,2019-02-25,W,6,8,0,0.75
58,2019-02-23,W,4,8,0,0.5
57,2019-02-21,L,6,9,0,0.667
41,2019-01-13,L,8,12,0,0.667
40,2019-01-11,W,7,8,0,0.875
39,2019-01-09,L,4,16,0,0.25
38,2019-01-07,W,13,18,0,0.722
37,2019-01-05,L,5,8,0,0.625
36,2019-01-03,W,12,19,0,0.632
35,2018-12-31,W,7,9,0,0.778
34,2018-12-29,W,3,6,0,0.5
33,2018-12-27,W,9,14,0,0.643
32,2018-12-25,W,8,15,0,0.533
31,2018-12-22,W,8,11,0,0.727
30,2018-12-20,L,3,7,0,0.429
29,2018-12-19,W,9,13,0,0.692
28,2018-12-17,W,2,8,0,0.25
27,2018-12-15,W,10,14,0,0.714
26,2018-12-13,W,7,13,0,0.538
25,2018-12-11,W,6,11,0,0.545
24,2018-12-08,L,6,8,0,0.75
23,2018-12-06,L,5,14,0,0.357
22,2018-12-03,L,11,14,0,0.786
21,2018-12-01,W,7,11,0,0.636
20,2018-11-30,W,12,16,0,0.75
19,2018-11-28,L,9,12,0,0.75
18,2018-11-26,L,8,14,0,0.571
17,2018-11-24,L,4,4,0,1.0
16,2018-11-23,L,14,21,0,0.667
15,2018-11-21,W,12,14,0,0.857
14,2018-11-17,W,11,14,0,0.786
13,2018-11-15,W,3,9,0,0.333
12,2018-11-13,W,11,15,0,0.733
11,2018-11-11,W,8,9,0,0.889
10,2018-11-10,L,4,9,0,0.444
9,2018-11-08,L,8,12,0,0.667
8,2018-11-05,W,8,10,0,0.8
7,2018-11-03,W,4,11,0,0.364
6,2018-11-02,W,8,11,0,0.727
5,2018-10-30,L,6,11,0,0.545
4,2018-10-26,L,6,10,0,0.6
3,2018-10-24,L,5,9,0,0.556
2,2018-10-21,L,11,14,0,0.786
1,2018-10-20,W,9,16,0,0.562
0,2018-10-17,L,4,9,0,0.444
162,2018-04-10,W,5,9,0,0.556
161,2018-04-07,L,5,6,0,0.833
160,2018-04-05,W,4,6,0,0.667
159,2018-04-03,W,9,10,0,0.9
158,2018-04-01,L,3,9,0,0.333
157,2018-03-30,W,3,7,0,0.429
155,2018-03-25,W,7,9,0,0.778
154,2018-03-24,W,9,12,0,0.75
153,2018-03-22,W,5,8,0,0.625
152,2018-03-20,W,2,3,0,0.667
151,2018-03-18,W,8,11,0,0.727
150,2018-03-17,W,6,11,0,0.545
149,2018-03-15,W,9,16,0,0.562
148,2018-03-12,W,6,7,0,0.857
147,2018-03-11,W,2,3,0,0.667
146,2018-03-09,L,6,11,0,0.545
145,2018-03-07,W,4,7,0,0.571
144,2018-03-06,W,4,6,0,0.667
143,2018-03-03,W,3,6,0,0.5
142,2018-02-28,W,9,14,0,0.643
140,2018-02-25,W,3,6,0,0.5
139,2018-02-23,W,10,11,0,0.909
138,2018-02-14,W,6,11,0,0.545
137,2018-02-13,W,5,7,0,0.714
136,2018-02-11,W,6,10,0,0.6
135,2018-02-09,W,9,15,0,0.6
134,2018-02-07,W,6,8,0,0.75
133,2018-02-06,W,8,12,0,0.667
132,2018-02-03,W,6,10,0,0.6
131,2018-02-01,W,6,10,0,0.6
130,2018-01-30,W,6,14,0,0.429
129,2018-01-28,W,3,5,0,0.6
128,2018-01-26,L,4,6,0,0.667
127,2018-01-24,W,7,8,0,0.875
126,2018-01-22,W,6,10,0,0.6
125,2018-01-20,W,7,12,0,0.583
124,2018-01-18,W,7,9,0,0.778
123,2018-01-15,L,6,10,0,0.6
122,2018-01-12,W,7,11,0,0.636
121,2018-01-10,W,5,9,0,0.556
120,2018-01-08,W,5,7,0,0.714
119,2018-01-06,L,7,15,0,0.467
118,2018-01-04,L,7,10,0,0.7
117,2018-01-03,W,8,12,0,0.667
116,2017-12-31,W,3,8,0,0.375
113,2017-12-25,L,9,14,0,0.643
110,2017-12-18,W,10,12,0,0.833
108,2017-12-15,W,9,11,0,0.818
107,2017-12-13,W,4,5,0,0.8
106,2017-12-11,W,13,14,0,0.929
105,2017-12-09,W,4,5,0,0.8
104,2017-12-07,W,3,6,0,0.5
103,2017-12-03,W,3,7,0,0.429
102,2017-11-29,W,10,15,0,0.667
101,2017-11-27,W,8,12,0,0.667
100,2017-11-25,W,4,7,0,0.571
99,2017-11-22,W,4,7,0,0.571
98,2017-11-18,W,7,11,0,0.636
97,2017-11-16,W,6,11,0,0.545
96,2017-11-14,L,5,7,0,0.714
95,2017-11-12,W,9,12,0,0.75
94,2017-11-11,W,3,5,0,0.6
93,2017-11-09,W,7,9,0,0.778
92,2017-11-05,W,3,5,0,0.6
91,2017-11-03,W,5,9,0,0.556
90,2017-11-01,W,6,10,0,0.6
89,2017-10-30,L,4,6,0,0.667
88,2017-10-28,L,5,8,0,0.625
87,2017-10-27,W,3,3,0,1.0
86,2017-10-25,W,7,9,0,0.778
85,2017-10-23,L,7,9,0,0.778
84,2017-10-21,W,5,8,0,0.625
83,2017-10-18,W,10,12,0,0.833
82,2017-10-17,W,6,10,0,0.6
245,2017-04-12,W,11,12,0,0.917
243,2017-04-09,W,8,8,0,1.0
241,2017-04-05,W,7,10,0,0.7
240,2017-04-02,W,4,11,0,0.364
239,2017-03-31,L,4,13,0,0.308
238,2017-03-30,L,3,6,0,0.5
237,2017-03-28,L,9,10,0,0.9
236,2017-03-26,W,5,6,0,0.833
235,2017-03-24,W,5,7,0,0.714
234,2017-03-20,W,6,8,0,0.75
233,2017-03-18,W,7,13,0,0.538
232,2017-03-17,L,3,9,0,0.333
231,2017-03-15,W,5,7,0,0.714
230,2017-03-12,W,4,8,0,0.5
229,2017-03-10,W,7,9,0,0.778
228,2017-03-08,L,9,13,0,0.692
227,2017-03-06,L,6,11,0,0.545
226,2017-03-04,W,8,14,0,0.571
225,2017-03-01,W,4,9,0,0.444
224,2017-02-27,L,4,6,0,0.667
223,2017-02-25,W,7,9,0,0.778
222,2017-02-23,W,7,8,0,0.875
221,2017-02-15,L,5,7,0,0.714
220,2017-02-11,W,3,4,0,0.75
219,2017-02-09,W,5,8,0,0.625
218,2017-02-07,W,7,9,0,0.778
217,2017-02-03,W,7,8,0,0.875
216,2017-02-02,L,9,11,0,0.818
215,2017-01-31,W,5,8,0,0.625
214,2017-01-29,L,4,6,0,0.667
213,2017-01-27,W,7,11,0,0.636
212,2017-01-25,L,5,10,0,0.5
211,2017-01-23,L,7,12,0,0.583
210,2017-01-21,W,2,4,0,0.5
209,2017-01-20,L,10,16,0,0.625
208,2017-01-18,W,2,3,0,0.667
207,2017-01-17,L,0,3,0,0.0
191,2016-12-17,W,5,5,0,1.0
190,2016-12-16,W,4,6,0,0.667
189,2016-12-14,W,7,10,0,0.7
188,2016-12-12,W,4,4,0,1.0
187,2016-12-10,W,4,8,0,0.5
186,2016-12-09,W,5,10,0,0.5
185,2016-12-07,W,6,10,0,0.6
184,2016-12-05,W,5,7,0,0.714
183,2016-12-02,W,6,8,0,0.75
182,2016-12-01,W,5,8,0,0.625
181,2016-11-29,L,4,6,0,0.667
180,2016-11-27,W,9,12,0,0.75
179,2016-11-25,W,7,14,0,0.5
178,2016-11-23,L,6,7,0,0.857
177,2016-11-21,W,7,10,0,0.7
176,2016-11-19,W,10,19,0,0.526
175,2016-11-17,W,7,9,0,0.778
174,2016-11-16,L,5,8,0,0.625
173,2016-11-14,W,3,7,0,0.429
172,2016-11-12,L,5,9,0,0.556
171,2016-11-09,W,5,8,0,0.625
170,2016-11-07,W,7,10,0,0.7
169,2016-11-05,L,6,7,0,0.857
168,2016-11-02,W,4,6,0,0.667
167,2016-11-01,L,3,5,0,0.6
166,2016-10-30,W,2,7,0,0.286
165,2016-10-28,W,2,5,0,0.4
164,2016-10-26,L,8,11,0,0.727
327,2016-04-13,W,3,5,0,0.6
326,2016-04-11,W,5,8,0,0.625
325,2016-04-10,W,2,4,0,0.5
324,2016-04-07,L,3,3,0,1.0
323,2016-04-06,L,1,2,0,0.5
322,2016-04-03,W,4,8,0,0.5
321,2016-03-31,L,4,7,0,0.571
320,2016-03-29,W,4,7,0,0.571
319,2016-03-27,L,4,5,0,0.8
318,2016-03-25,W,3,7,0,0.429
317,2016-03-23,L,4,5,0,0.8
316,2016-03-22,L,2,3,0,0.667
315,2016-03-19,L,2,5,0,0.4
314,2016-03-18,W,4,5,0,0.8
313,2016-03-16,L,1,1,0,1.0
312,2016-03-14,W,3,7,0,0.429
311,2016-03-12,L,4,7,0,0.571
310,2016-03-11,W,3,5,0,0.6
309,2016-03-09,W,1,1,0,1.0
308,2016-03-06,W,1,2,0,0.5
307,2016-03-05,L,3,4,0,0.75
306,2016-03-02,W,2,2,0,1.0
302,2016-02-23,L,1,3,0,0.333
301,2016-02-19,W,5,7,0,0.714
300,2016-02-10,L,0,1,0,0.0
299,2016-02-09,L,2,4,0,0.5
298,2016-02-06,L,0,0,0,
297,2016-02-04,W,5,5,0,1.0
295,2016-01-30,L,0,3,0,0.0
294,2016-01-29,L,5,7,0,0.714
293,2016-01-27,L,1,4,0,0.25
292,2016-01-25,W,4,5,0,0.8
291,2016-01-24,W,4,7,0,0.571
290,2016-01-22,W,3,3,0,1.0
289,2016-01-20,L,5,14,0,0.357
288,2016-01-18,L,3,7,0,0.429
287,2016-01-17,W,6,8,0,0.75
286,2016-01-15,L,3,7,0,0.429
285,2016-01-13,W,3,4,0,0.75
284,2016-01-12,W,0,4,0,0.0
283,2016-01-10,W,1,2,0,0.5
282,2016-01-07,W,2,6,0,0.333
281,2016-01-04,W,1,2,0,0.5
280,2016-01-02,L,4,6,0,0.667
