,Date,Result,FG,FGA,FG3,eFG
80,2019-04-09,W,6,16,3,0.469
79,2019-04-07,W,9,19,5,0.605
78,2019-04-05,L,3,14,0,0.214
77,2019-04-03,W,8,18,2,0.5
76,2019-04-01,W,6,17,3,0.441
75,2019-03-30,L,8,25,3,0.38
74,2019-03-29,W,13,25,4,0.6
73,2019-03-27,W,3,12,1,0.292
72,2019-03-25,W,10,30,4,0.4
71,2019-03-23,W,9,16,6,0.75
70,2019-03-20,W,9,18,6,0.667
69,2019-03-18,W,9,16,4,0.688
68,2019-03-16,L,13,29,3,0.5
67,2019-03-15,W,8,18,4,0.556
66,2019-03-12,W,8,14,3,0.679
65,2019-03-09,W,4,11,2,0.455
64,2019-03-07,L,15,28,3,0.589
63,2019-03-05,L,8,18,3,0.528
62,2019-03-03,W,9,20,4,0.55
61,2019-03-01,L,8,17,3,0.559
60,2019-02-27,W,13,28,3,0.518
59,2019-02-25,W,6,13,3,0.577
58,2019-02-23,W,5,10,1,0.55
57,2019-02-21,W,5,21,2,0.286
56,2019-02-13,W,9,15,6,0.8
55,2019-02-11,L,9,22,3,0.477
54,2019-02-10,L,10,23,6,0.565
53,2019-02-07,W,10,20,0,0.5
52,2019-02-05,L,5,15,2,0.4
51,2019-01-30,W,12,21,3,0.643
49,2019-01-24,W,7,16,1,0.469
48,2019-01-22,L,12,24,2,0.542
47,2019-01-21,W,10,20,1,0.525
46,2019-01-18,W,8,20,2,0.45
45,2019-01-16,W,11,19,4,0.684
44,2019-01-14,L,11,27,4,0.481
43,2019-01-13,L,8,21,2,0.429
42,2019-01-11,W,8,16,2,0.562
41,2019-01-09,W,4,12,2,0.417
40,2019-01-07,W,5,14,2,0.429
39,2019-01-05,W,5,15,2,0.4
38,2019-01-04,L,7,19,1,0.395
37,2019-01-01,W,8,21,1,0.405
36,2018-12-30,W,6,10,3,0.75
35,2018-12-29,L,14,23,6,0.739
34,2018-12-27,W,7,20,3,0.425
33,2018-12-25,L,9,21,2,0.476
32,2018-12-23,W,11,24,2,0.5
31,2018-12-21,L,7,16,4,0.562
30,2018-12-19,W,9,18,5,0.639
29,2018-12-17,W,11,20,6,0.7
28,2018-12-14,W,8,10,3,0.95
27,2018-12-12,L,4,18,1,0.25
26,2018-12-11,L,12,25,4,0.56
