,Date,Result,FG,FGA,FG3,eFG
80,2019-04-07,W,10,15,2,0.733
78,2019-04-04,W,13,22,3,0.659
77,2019-04-01,W,9,23,1,0.413
75,2019-03-28,W,10,18,2,0.611
74,2019-03-26,W,7,15,0,0.467
73,2019-03-24,W,11,16,0,0.688
72,2019-03-22,W,12,19,1,0.658
69,2019-03-17,L,15,26,3,0.635
68,2019-03-15,W,12,19,1,0.658
67,2019-03-12,W,7,13,0,0.538
66,2019-03-10,L,10,18,1,0.583
65,2019-03-09,W,7,11,2,0.727
64,2019-03-07,W,10,17,1,0.618
63,2019-03-04,L,8,14,0,0.571
62,2019-03-02,L,15,26,2,0.615
61,2019-03-01,W,7,14,0,0.5
60,2019-02-27,W,7,12,0,0.583
58,2019-02-23,W,9,16,3,0.656
57,2019-02-21,W,11,19,1,0.605
56,2019-02-13,W,12,22,0,0.545
55,2019-02-11,W,9,13,2,0.769
53,2019-02-08,W,13,19,1,0.711
52,2019-02-06,W,17,21,3,0.881
51,2019-02-04,W,12,19,0,0.632
50,2019-02-02,W,10,20,0,0.5
49,2019-01-31,W,7,13,1,0.577
48,2019-01-29,W,8,16,1,0.531
47,2019-01-27,L,8,22,3,0.432
46,2019-01-25,W,14,21,0,0.667
45,2019-01-21,W,10,20,1,0.525
44,2019-01-19,W,10,17,1,0.618
43,2019-01-16,W,10,14,0,0.714
42,2019-01-15,W,4,9,0,0.444
41,2019-01-13,W,9,17,1,0.559
39,2019-01-09,W,8,16,0,0.5
38,2019-01-07,W,13,30,0,0.433
37,2019-01-05,L,16,25,3,0.7
36,2019-01-04,W,6,8,0,0.75
35,2019-01-01,W,6,11,0,0.545
34,2018-12-29,W,13,17,2,0.824
33,2018-12-27,W,10,20,1,0.525
32,2018-12-25,W,13,21,0,0.619
31,2018-12-22,L,3,12,0,0.25
30,2018-12-21,W,8,13,1,0.654
29,2018-12-19,W,8,13,0,0.615
28,2018-12-17,W,15,21,0,0.714
27,2018-12-14,W,14,19,0,0.737
26,2018-12-12,L,4,6,1,0.75
24,2018-12-09,W,8,15,1,0.567
23,2018-12-07,L,8,13,0,0.615
22,2018-12-05,W,6,12,0,0.5
21,2018-12-01,L,10,17,0,0.588
20,2018-11-28,W,14,21,0,0.667
19,2018-11-26,L,7,15,1,0.5
18,2018-11-24,W,9,16,0,0.562
17,2018-11-23,L,14,16,0,0.875
16,2018-11-21,W,13,20,1,0.675
15,2018-11-19,W,13,25,0,0.52
14,2018-11-16,W,8,15,2,0.6
13,2018-11-14,L,10,14,0,0.714
12,2018-11-11,W,11,16,0,0.688
11,2018-11-10,L,11,19,0,0.579
10,2018-11-08,W,7,16,0,0.438
9,2018-11-06,L,11,18,0,0.611
8,2018-11-04,W,8,11,1,0.773
7,2018-11-01,L,13,22,0,0.591
5,2018-10-27,W,9,12,0,0.75
4,2018-10-26,W,5,9,0,0.556
3,2018-10-24,W,12,24,0,0.5
2,2018-10-22,W,13,29,1,0.466
1,2018-10-19,W,12,23,0,0.522
0,2018-10-17,W,9,21,0,0.429
163,2018-04-11,L,5,14,0,0.357
160,2018-04-05,L,7,21,0,0.333
159,2018-04-03,W,11,22,0,0.5
158,2018-04-01,L,7,13,1,0.577
157,2018-03-30,W,8,20,0,0.4
156,2018-03-29,W,14,18,2,0.833
155,2018-03-27,L,10,16,1,0.656
154,2018-03-25,W,9,16,3,0.656
152,2018-03-21,L,5,9,0,0.556
151,2018-03-19,L,13,20,0,0.65
150,2018-03-17,W,12,25,2,0.52
149,2018-03-14,L,16,29,1,0.569
148,2018-03-12,W,7,14,1,0.536
147,2018-03-09,W,7,15,0,0.467
146,2018-03-07,L,12,20,0,0.6
145,2018-03-05,L,7,16,0,0.438
144,2018-03-04,W,14,23,1,0.63
143,2018-03-02,L,6,18,2,0.389
142,2018-02-28,L,5,13,1,0.423
141,2018-02-27,L,8,16,1,0.531
