,Date,Result,FG,FGA,FG3,eFG
81,2019-04-09,L,11,28,5,0.482
80,2019-04-07,W,10,14,5,0.893
79,2019-04-05,W,8,21,5,0.5
78,2019-04-03,W,9,15,3,0.7
77,2019-04-02,W,12,19,7,0.816
76,2019-03-30,W,13,31,7,0.532
75,2019-03-28,W,10,22,5,0.568
74,2019-03-26,L,9,26,1,0.365
73,2019-03-24,W,10,19,6,0.684
72,2019-03-22,W,19,34,9,0.691
71,2019-03-20,L,18,39,9,0.577
70,2019-03-19,W,8,18,4,0.556
69,2019-03-17,W,8,24,4,0.417
68,2019-03-15,W,12,25,3,0.54
67,2019-03-13,L,10,23,2,0.478
66,2019-03-11,W,7,21,3,0.405
65,2019-03-10,W,7,25,3,0.34
64,2019-03-08,W,11,22,3,0.568
63,2019-03-05,W,12,30,3,0.45
62,2019-03-03,W,14,31,6,0.548
61,2019-02-28,W,16,32,8,0.625
60,2019-02-27,W,10,29,1,0.362
59,2019-02-25,W,7,21,0,0.333
57,2019-02-21,L,11,24,2,0.5
56,2019-02-13,L,15,34,8,0.559
55,2019-02-11,W,9,23,6,0.522
54,2019-02-09,L,11,28,6,0.5
53,2019-02-06,W,13,26,8,0.654
52,2019-02-04,W,15,26,5,0.673
51,2019-02-02,W,12,22,4,0.636
50,2019-02-01,L,9,21,7,0.595
49,2019-01-29,L,11,32,6,0.438
48,2019-01-27,W,14,27,4,0.593
47,2019-01-25,W,9,25,2,0.4
46,2019-01-23,W,17,38,5,0.513
45,2019-01-21,L,12,26,6,0.577
44,2019-01-19,W,14,30,8,0.6
43,2019-01-16,L,16,34,5,0.544
42,2019-01-14,W,17,33,6,0.606
41,2019-01-13,L,11,32,1,0.359
40,2019-01-11,W,12,24,8,0.667
39,2019-01-09,L,13,30,6,0.533
38,2019-01-07,W,7,18,6,0.556
37,2019-01-05,L,13,35,5,0.443
36,2019-01-03,W,13,32,10,0.562
35,2018-12-31,W,8,19,6,0.579
34,2018-12-29,W,10,25,7,0.54
33,2018-12-27,W,11,26,9,0.596
32,2018-12-25,W,15,35,5,0.5
31,2018-12-22,W,12,34,7,0.456
30,2018-12-20,L,7,23,6,0.435
29,2018-12-19,W,10,18,6,0.722
28,2018-12-17,W,14,31,4,0.516
27,2018-12-15,W,9,14,3,0.75
26,2018-12-13,W,14,26,4,0.615
25,2018-12-11,W,10,21,4,0.571
24,2018-12-08,L,11,22,6,0.636
23,2018-12-06,L,5,16,2,0.375
22,2018-12-03,L,8,17,3,0.559
21,2018-12-01,W,9,16,6,0.75
20,2018-11-30,W,9,20,3,0.525
19,2018-11-28,L,7,15,4,0.6
18,2018-11-26,L,17,32,7,0.641
17,2018-11-24,L,14,30,5,0.55
16,2018-11-23,L,9,27,3,0.389
15,2018-11-21,W,10,20,4,0.6
14,2018-11-17,W,10,17,4,0.706
13,2018-11-15,W,8,23,4,0.435
12,2018-11-13,W,7,16,2,0.5
11,2018-11-11,W,9,20,8,0.65
10,2018-11-10,L,7,27,1,0.278
9,2018-11-08,L,7,19,4,0.474
8,2018-11-05,W,7,15,5,0.633
7,2018-11-03,W,7,17,5,0.559
3,2018-10-24,L,10,19,3,0.605
2,2018-10-21,L,11,26,4,0.5
1,2018-10-20,W,10,19,5,0.658
0,2018-10-17,L,6,15,3,0.5
162,2018-04-10,W,6,15,3,0.5
161,2018-04-07,L,7,16,3,0.531
160,2018-04-05,W,7,13,3,0.654
159,2018-04-03,W,12,18,5,0.806
