,Date,Result,FG,FGA,FG3,eFG
79,2019-04-06,W,9,16,0,0.562
78,2019-04-04,L,12,31,3,0.435
74,2019-03-28,W,12,20,3,0.675
73,2019-03-25,L,8,15,1,0.567
72,2019-03-23,L,7,11,2,0.727
71,2019-03-20,W,8,17,1,0.5
69,2019-03-17,W,15,31,4,0.548
68,2019-03-15,W,9,19,0,0.474
67,2019-03-12,W,6,16,1,0.406
66,2019-03-10,W,11,21,0,0.524
57,2019-02-13,W,7,13,0,0.538
56,2019-02-12,L,9,22,2,0.455
55,2019-02-10,W,12,16,2,0.812
54,2019-02-08,W,4,17,0,0.235
53,2019-02-05,L,10,20,3,0.575
52,2019-02-02,L,9,24,0,0.375
51,2019-01-31,W,8,24,0,0.333
50,2019-01-29,W,7,16,2,0.5
48,2019-01-23,W,13,28,2,0.5
47,2019-01-21,W,9,16,0,0.562
46,2019-01-19,L,11,19,1,0.605
45,2019-01-17,W,9,19,2,0.526
44,2019-01-15,W,10,17,4,0.706
43,2019-01-13,W,9,24,0,0.375
41,2019-01-09,L,11,17,1,0.676
40,2019-01-08,W,8,13,2,0.692
39,2019-01-05,W,7,17,1,0.441
38,2019-01-02,W,12,23,1,0.543
37,2019-01-01,W,9,19,2,0.526
35,2018-12-27,W,9,17,2,0.588
34,2018-12-25,L,10,17,2,0.647
33,2018-12-22,W,10,15,0,0.667
32,2018-12-19,W,10,17,0,0.588
31,2018-12-17,L,6,17,0,0.353
30,2018-12-16,W,10,16,0,0.625
29,2018-12-14,L,13,22,1,0.614
28,2018-12-12,L,12,18,2,0.722
27,2018-12-10,W,6,16,1,0.406
25,2018-12-05,L,5,17,0,0.294
24,2018-12-02,W,4,13,0,0.308
23,2018-11-30,W,5,12,1,0.458
22,2018-11-28,W,10,21,0,0.476
21,2018-11-25,W,11,19,0,0.579
20,2018-11-23,L,8,13,2,0.692
19,2018-11-21,W,11,23,2,0.522
18,2018-11-19,W,12,23,0,0.522
17,2018-11-17,W,9,23,2,0.435
16,2018-11-16,W,7,20,1,0.375
15,2018-11-14,L,6,20,4,0.4
14,2018-11-12,W,8,15,3,0.633
13,2018-11-10,L,4,15,0,0.267
12,2018-11-09,W,11,18,1,0.639
11,2018-11-07,W,7,16,1,0.469
10,2018-11-04,L,4,8,0,0.5
9,2018-11-03,W,10,18,1,0.583
8,2018-11-01,W,16,32,3,0.547
7,2018-10-30,L,11,21,3,0.595
6,2018-10-29,W,3,9,0,0.333
5,2018-10-27,W,10,22,1,0.477
4,2018-10-24,L,9,24,2,0.417
3,2018-10-23,L,11,20,0,0.55
2,2018-10-20,W,13,26,3,0.558
1,2018-10-18,W,9,14,0,0.643
0,2018-10-16,L,9,21,1,0.452
155,2018-03-28,W,2,6,0,0.333
154,2018-03-26,W,6,12,0,0.5
153,2018-03-24,W,6,12,1,0.542
152,2018-03-22,W,6,11,1,0.591
151,2018-03-21,W,4,10,0,0.4
150,2018-03-19,W,10,17,4,0.706
149,2018-03-16,W,6,23,1,0.283
148,2018-03-15,W,11,21,2,0.571
147,2018-03-13,L,11,22,0,0.5
146,2018-03-11,W,9,17,1,0.559
145,2018-03-08,L,5,18,3,0.361
144,2018-03-06,W,8,16,0,0.5
143,2018-03-04,L,6,12,0,0.5
142,2018-03-02,W,8,19,1,0.447
141,2018-03-01,W,7,18,0,0.389
140,2018-02-27,L,9,16,3,0.656
139,2018-02-25,L,9,20,2,0.5
138,2018-02-24,W,10,17,1,0.618
137,2018-02-22,W,11,17,3,0.735
135,2018-02-12,W,6,13,1,0.5
134,2018-02-10,W,9,23,1,0.413
133,2018-02-09,W,11,18,2,0.667
132,2018-02-06,W,10,21,3,0.548
131,2018-02-03,L,9,19,0,0.474
130,2018-02-02,W,7,17,0,0.412
129,2018-01-31,L,8,19,1,0.447
127,2018-01-28,L,10,16,3,0.719
126,2018-01-26,W,6,15,1,0.433
125,2018-01-24,W,10,17,1,0.618
124,2018-01-22,L,5,13,0,0.385
123,2018-01-20,W,11,19,2,0.632
122,2018-01-18,W,10,19,0,0.526
121,2018-01-15,W,11,21,1,0.548
120,2018-01-11,L,6,17,1,0.382
119,2018-01-05,W,9,16,1,0.594
118,2018-01-03,W,6,12,0,0.5
117,2017-12-31,W,8,14,0,0.571
115,2017-12-28,L,9,21,6,0.571
114,2017-12-25,W,8,17,2,0.529
113,2017-12-23,L,5,13,1,0.423
109,2017-12-15,L,11,20,0,0.55
108,2017-12-12,W,8,16,1,0.531
105,2017-12-07,L,11,17,2,0.706
104,2017-12-04,L,7,18,0,0.389
103,2017-12-02,W,7,21,0,0.333
101,2017-11-29,W,6,15,0,0.4
100,2017-11-27,L,11,24,0,0.458
99,2017-11-25,W,7,17,1,0.441
98,2017-11-22,W,11,19,1,0.605
97,2017-11-20,W,7,17,0,0.412
96,2017-11-18,L,7,16,1,0.469
95,2017-11-15,W,14,20,2,0.75
94,2017-11-13,W,11,20,1,0.575
93,2017-11-11,L,4,11,0,0.364
92,2017-11-09,L,7,20,1,0.375
90,2017-11-03,W,7,15,0,0.467
89,2017-11-01,W,9,16,1,0.594
88,2017-10-30,W,9,12,0,0.75
87,2017-10-28,W,8,19,3,0.5
86,2017-10-25,L,8,13,1,0.654
85,2017-10-23,W,11,15,1,0.767
83,2017-10-20,L,4,16,0,0.25
82,2017-10-18,L,7,15,0,0.467
208,2017-01-27,L,11,20,4,0.65
204,2017-01-20,W,7,14,0,0.5
203,2017-01-18,W,6,13,2,0.538
202,2017-01-16,W,4,9,1,0.5
200,2017-01-13,W,6,12,0,0.5
199,2017-01-11,W,7,20,1,0.375
198,2017-01-08,W,8,14,0,0.571
197,2017-01-06,L,6,12,1,0.542
196,2017-01-03,W,8,20,1,0.425
195,2016-12-30,W,5,13,1,0.423
193,2016-12-26,L,8,17,1,0.5
192,2016-12-23,L,8,15,1,0.567
191,2016-12-20,L,4,12,0,0.333
190,2016-12-18,W,12,17,2,0.765
189,2016-12-16,L,5,14,2,0.429
188,2016-12-14,L,3,6,0,0.5
186,2016-12-08,W,5,15,0,0.333
184,2016-12-05,L,5,15,1,0.367
182,2016-12-02,L,10,21,3,0.548
180,2016-11-27,L,8,18,3,0.528
178,2016-11-23,L,4,10,1,0.45
177,2016-11-21,W,7,13,1,0.577
176,2016-11-19,W,9,14,3,0.75
175,2016-11-17,L,4,9,0,0.444
173,2016-11-14,L,6,10,0,0.6
171,2016-11-11,W,6,18,1,0.361
169,2016-11-07,L,4,8,0,0.5
168,2016-11-05,L,7,13,4,0.692
166,2016-11-01,L,6,12,0,0.5
165,2016-10-29,L,5,9,1,0.611
164,2016-10-26,L,6,16,1,0.406
