,Date,Result,FG,FGA,FG3,eFG
79,2019-04-07,L,11,18,0,0.611
78,2019-04-05,W,5,10,1,0.55
77,2019-04-03,W,12,15,0,0.8
76,2019-04-01,L,6,21,1,0.31
75,2019-03-30,L,8,17,0,0.471
74,2019-03-29,W,5,17,0,0.294
73,2019-03-26,L,6,17,2,0.412
72,2019-03-23,W,12,20,4,0.7
71,2019-03-21,L,7,17,2,0.471
70,2019-03-19,L,10,16,2,0.688
69,2019-03-17,L,8,22,2,0.409
68,2019-03-14,L,9,15,3,0.7
67,2019-03-12,L,14,25,2,0.6
65,2019-03-09,W,15,24,4,0.708
64,2019-03-06,L,7,14,3,0.607
63,2019-03-05,W,15,27,3,0.611
62,2019-03-03,L,12,18,2,0.722
61,2019-02-28,L,15,29,3,0.569
60,2019-02-27,L,12,19,5,0.763
59,2019-02-25,W,13,18,3,0.806
56,2019-02-13,W,11,18,3,0.694
55,2019-02-11,W,7,11,0,0.636
54,2019-02-08,L,12,20,4,0.7
53,2019-02-07,L,12,16,2,0.812
52,2019-02-05,L,8,14,0,0.571
51,2019-02-02,L,12,19,2,0.684
50,2019-01-30,W,7,17,0,0.412
49,2019-01-27,L,6,10,3,0.75
48,2019-01-25,L,12,19,2,0.684
47,2019-01-24,W,10,18,3,0.639
46,2019-01-22,W,10,15,2,0.733
45,2019-01-20,W,8,22,1,0.386
44,2019-01-18,L,8,17,1,0.5
43,2019-01-15,L,4,10,2,0.5
42,2019-01-12,W,10,23,3,0.5
41,2019-01-11,L,12,21,1,0.595
40,2019-01-08,W,8,14,2,0.643
39,2019-01-06,W,11,20,1,0.575
38,2019-01-04,W,11,20,1,0.575
37,2019-01-02,L,12,21,1,0.595
36,2018-12-31,L,10,23,2,0.478
35,2018-12-30,W,12,24,3,0.562
34,2018-12-28,L,10,17,1,0.618
33,2018-12-26,W,8,13,2,0.692
32,2018-12-23,W,5,9,2,0.667
31,2018-12-21,L,4,15,1,0.3
30,2018-12-19,L,6,15,0,0.4
29,2018-12-17,W,5,11,2,0.545
28,2018-12-15,L,11,26,1,0.442
27,2018-12-12,L,8,15,2,0.6
26,2018-12-10,L,11,15,1,0.767
25,2018-12-08,L,6,16,2,0.438
24,2018-12-05,W,13,20,4,0.75
23,2018-12-03,W,10,24,1,0.438
22,2018-12-01,L,6,15,2,0.467
21,2018-11-28,W,6,11,2,0.636
20,2018-11-26,W,9,19,2,0.526
19,2018-11-24,W,13,23,1,0.587
18,2018-11-23,W,9,18,1,0.528
17,2018-11-21,L,7,14,1,0.536
16,2018-11-18,L,6,10,1,0.65
15,2018-11-16,W,6,15,2,0.467
14,2018-11-14,W,9,17,2,0.588
13,2018-11-12,W,9,11,2,0.909
12,2018-11-09,L,15,27,2,0.593
11,2018-11-07,L,5,16,1,0.344
10,2018-11-05,L,8,13,1,0.654
9,2018-11-04,L,7,13,2,0.615
8,2018-11-02,L,5,13,2,0.462
7,2018-10-31,W,9,17,4,0.647
6,2018-10-29,W,7,18,3,0.472
5,2018-10-26,L,7,16,2,0.5
4,2018-10-24,L,5,17,1,0.324
3,2018-10-22,W,6,12,1,0.542
2,2018-10-20,L,9,16,4,0.688
1,2018-10-19,W,4,10,2,0.5
0,2018-10-17,L,2,6,1,0.417
163,2018-04-11,W,12,19,0,0.632
162,2018-04-09,W,11,14,0,0.786
161,2018-04-06,W,5,13,1,0.423
160,2018-04-05,L,10,16,2,0.688
159,2018-04-01,L,7,13,0,0.538
158,2018-03-30,W,8,21,1,0.405
157,2018-03-28,W,19,32,6,0.688
156,2018-03-26,L,5,13,2,0.462
155,2018-03-24,L,3,15,2,0.267
154,2018-03-23,W,9,14,2,0.714
153,2018-03-20,W,10,19,3,0.605
152,2018-03-18,L,9,15,0,0.6
151,2018-03-17,L,8,15,2,0.6
150,2018-03-13,W,13,17,3,0.853
149,2018-03-11,W,13,24,2,0.583
148,2018-03-08,L,5,12,0,0.417
147,2018-03-02,L,4,6,1,0.75
146,2018-03-01,L,11,19,1,0.605
145,2018-02-26,W,9,10,0,0.9
144,2018-02-24,W,9,20,0,0.45
143,2018-02-23,L,6,15,1,0.433
142,2018-02-15,W,2,9,0,0.222
141,2018-02-13,L,12,16,2,0.812
140,2018-02-11,W,10,17,2,0.647
139,2018-02-09,L,3,8,0,0.375
138,2018-02-07,L,10,12,6,1.083
137,2018-02-03,W,8,16,3,0.594
136,2018-02-01,W,10,13,1,0.808
135,2018-01-30,L,4,7,0,0.571
134,2018-01-29,L,6,8,1,0.812
133,2018-01-27,W,7,17,0,0.412
132,2018-01-25,L,13,24,1,0.562
131,2018-01-24,L,6,9,2,0.778
130,2018-01-22,W,1,7,0,0.143
129,2018-01-20,W,6,7,2,1.0
128,2018-01-18,L,10,19,1,0.553
127,2018-01-16,L,6,13,1,0.5
126,2018-01-14,W,6,11,2,0.636
125,2018-01-12,W,9,15,2,0.667
124,2018-01-10,W,7,12,2,0.667
123,2018-01-08,W,8,11,1,0.773
122,2018-01-06,W,7,11,3,0.773
121,2018-01-05,L,9,16,1,0.594
120,2018-01-03,L,8,16,0,0.5
119,2018-01-01,W,7,13,2,0.615
118,2017-12-31,W,6,11,1,0.591
117,2017-12-28,L,8,12,4,0.833
116,2017-12-27,W,6,12,2,0.583
115,2017-12-25,W,7,12,2,0.667
114,2017-12-23,W,6,10,1,0.65
113,2017-12-20,W,11,16,2,0.75
112,2017-12-18,W,5,15,3,0.433
111,2017-12-16,L,7,17,4,0.529
110,2017-12-14,W,11,16,2,0.75
109,2017-12-12,L,6,16,0,0.375
108,2017-12-10,W,10,15,2,0.733
107,2017-12-06,W,9,14,0,0.643
106,2017-12-04,L,2,6,1,0.417
105,2017-12-03,W,6,13,2,0.538
104,2017-12-01,L,9,17,1,0.559
103,2017-11-29,W,4,7,1,0.643
102,2017-11-28,L,9,19,2,0.526
101,2017-11-26,W,12,26,2,0.5
100,2017-11-24,L,6,14,0,0.429
99,2017-11-22,W,7,11,2,0.727
98,2017-11-20,L,5,10,0,0.5
97,2017-11-19,L,6,13,2,0.538
96,2017-11-17,W,5,10,1,0.55
95,2017-11-15,W,10,18,2,0.611
94,2017-11-13,W,10,15,4,0.8
93,2017-11-11,L,8,19,1,0.447
92,2017-11-08,L,5,11,1,0.5
91,2017-11-05,W,5,11,0,0.455
90,2017-11-04,W,11,18,2,0.667
89,2017-11-01,W,1,7,0,0.143
88,2017-10-30,W,7,11,3,0.773
87,2017-10-27,W,12,24,1,0.521
86,2017-10-25,L,8,16,3,0.594
85,2017-10-24,L,12,17,0,0.706
84,2017-10-22,W,11,17,2,0.706
83,2017-10-20,W,7,12,0,0.583
82,2017-10-18,L,8,15,0,0.533
245,2017-04-12,L,12,17,3,0.794
244,2017-04-11,L,10,20,2,0.55
243,2017-04-09,L,17,22,1,0.795
242,2017-04-07,L,12,21,3,0.643
241,2017-04-06,L,8,16,1,0.531
240,2017-04-04,L,8,10,1,0.85
239,2017-04-03,W,15,25,0,0.6
238,2017-04-01,L,8,17,1,0.5
237,2017-03-30,W,11,22,2,0.545
236,2017-03-28,W,12,22,3,0.614
235,2017-03-25,L,6,11,0,0.545
234,2017-03-24,L,11,19,0,0.579
233,2017-03-21,L,8,17,1,0.5
232,2017-03-19,L,14,27,4,0.593
231,2017-03-17,L,11,17,1,0.676
230,2017-03-15,L,7,14,1,0.536
229,2017-03-13,W,17,26,2,0.692
228,2017-03-11,L,14,21,3,0.738
227,2017-03-10,W,10,18,2,0.611
226,2017-03-08,W,14,21,1,0.69
225,2017-03-04,L,9,16,0,0.562
224,2017-03-01,W,9,16,2,0.625
223,2017-02-27,W,13,19,1,0.711
222,2017-02-25,L,16,24,1,0.688
221,2017-02-24,W,12,18,0,0.667
220,2017-02-15,W,8,19,1,0.447
219,2017-02-14,L,11,19,1,0.605
218,2017-02-12,W,8,11,0,0.727
217,2017-02-10,L,13,22,1,0.614
216,2017-02-08,W,8,14,0,0.571
215,2017-02-06,L,13,20,2,0.7
214,2017-02-04,L,8,15,2,0.6
213,2017-02-03,L,11,19,0,0.579
212,2017-02-01,L,11,19,2,0.632
211,2017-01-30,W,8,18,1,0.472
210,2017-01-28,W,15,27,2,0.593
209,2017-01-26,L,13,23,4,0.652
208,2017-01-24,W,7,12,0,0.583
207,2017-01-22,W,13,19,0,0.684
206,2017-01-19,W,17,24,1,0.729
205,2017-01-17,L,10,18,2,0.611
204,2017-01-15,L,8,17,1,0.5
203,2017-01-13,W,11,17,0,0.647
202,2017-01-11,W,10,17,0,0.588
201,2017-01-09,W,15,19,2,0.842
200,2017-01-07,L,5,13,1,0.423
199,2017-01-06,L,7,17,0,0.412
198,2017-01-03,L,9,22,1,0.432
197,2017-01-01,L,3,15,0,0.2
196,2016-12-30,W,7,12,0,0.583
195,2016-12-28,L,7,17,1,0.441
194,2016-12-26,W,8,8,3,1.188
193,2016-12-25,L,10,20,0,0.5
192,2016-12-23,L,7,15,1,0.5
191,2016-12-21,W,7,16,0,0.438
190,2016-12-19,W,11,18,1,0.639
189,2016-12-17,L,15,28,1,0.554
