,Date,Result,FG,FGA,FG3,eFG
81,2019-04-10,L,7,10,0,0.7
79,2019-04-07,W,6,7,1,0.929
78,2019-04-05,W,7,14,1,0.536
77,2019-04-04,W,5,7,3,0.929
76,2019-04-02,W,9,13,2,0.769
75,2019-03-31,W,5,5,1,1.1
74,2019-03-29,L,8,22,2,0.409
73,2019-03-27,W,12,13,1,0.962
72,2019-03-24,W,5,6,1,0.917
71,2019-03-23,L,9,25,0,0.36
70,2019-03-21,W,6,9,1,0.722
69,2019-03-19,W,7,13,3,0.654
68,2019-03-18,L,9,18,0,0.5
65,2019-03-10,L,9,17,1,0.559
64,2019-03-08,W,10,15,2,0.733
63,2019-03-05,L,5,16,0,0.312
62,2019-03-02,W,11,24,2,0.5
60,2019-02-27,L,9,21,3,0.5
59,2019-02-25,W,7,15,4,0.6
58,2019-02-23,L,11,19,3,0.658
57,2019-02-21,W,10,20,1,0.525
56,2019-02-13,L,12,17,3,0.794
55,2019-02-12,W,11,19,1,0.605
54,2019-02-10,W,16,24,1,0.688
53,2019-02-08,W,6,11,1,0.591
52,2019-02-06,W,9,13,3,0.808
51,2019-02-02,W,8,13,0,0.615
50,2019-01-31,L,11,24,1,0.479
49,2019-01-28,W,7,21,1,0.357
48,2019-01-26,W,10,23,1,0.457
47,2019-01-24,W,9,18,1,0.528
46,2019-01-21,W,8,13,1,0.654
45,2019-01-18,W,8,13,2,0.692
44,2019-01-16,W,10,24,5,0.521
43,2019-01-15,W,11,15,5,0.9
42,2019-01-13,W,10,21,2,0.524
41,2019-01-11,W,7,11,2,0.727
40,2019-01-08,W,7,14,2,0.571
39,2019-01-05,W,11,20,3,0.625
38,2019-01-03,L,10,23,1,0.457
37,2018-12-31,W,8,14,3,0.679
36,2018-12-29,W,10,19,0,0.526
35,2018-12-27,L,11,23,2,0.522
34,2018-12-25,L,5,13,3,0.5
33,2018-12-23,W,10,19,3,0.605
32,2018-12-22,W,9,18,3,0.583
31,2018-12-19,L,10,23,2,0.478
30,2018-12-17,W,7,15,1,0.5
29,2018-12-14,W,9,20,4,0.55
28,2018-12-12,L,13,22,2,0.636
27,2018-12-10,W,7,15,4,0.6
26,2018-12-07,W,3,14,1,0.25
25,2018-12-05,W,9,16,4,0.688
24,2018-12-03,W,10,13,1,0.808
23,2018-12-01,L,9,19,1,0.5
22,2018-11-29,L,18,31,4,0.645
21,2018-11-26,W,16,33,4,0.545
20,2018-11-24,W,13,26,2,0.538
19,2018-11-23,W,13,21,2,0.667
18,2018-11-21,L,11,22,1,0.523
17,2018-11-18,L,8,25,1,0.34
16,2018-11-17,L,11,24,0,0.458
15,2018-11-15,L,6,15,0,0.4
14,2018-11-13,W,9,23,0,0.391
13,2018-11-12,L,10,24,2,0.458
12,2018-11-10,W,9,15,1,0.633
11,2018-11-08,L,6,15,1,0.433
10,2018-11-05,W,7,11,0,0.636
9,2018-11-02,W,11,19,3,0.658
8,2018-10-31,W,10,17,2,0.647
7,2018-10-29,W,5,9,1,0.611
6,2018-10-28,W,11,20,2,0.6
5,2018-10-26,W,17,24,5,0.812
4,2018-10-24,W,13,18,1,0.75
