,Date,Result,FG,FGA,FG3,eFG
80,2019-04-09,W,9,25,4,0.44
79,2019-04-07,W,8,22,4,0.455
78,2019-04-05,W,11,24,4,0.542
77,2019-04-02,W,8,17,3,0.559
76,2019-03-31,L,8,20,5,0.525
75,2019-03-29,L,10,22,2,0.5
74,2019-03-27,W,12,25,4,0.56
73,2019-03-25,L,10,29,5,0.431
72,2019-03-22,W,9,17,5,0.676
71,2019-03-20,L,6,14,3,0.536
70,2019-03-18,L,9,18,4,0.611
69,2019-03-16,L,9,25,4,0.44
68,2019-03-14,L,10,23,6,0.565
67,2019-03-13,W,9,18,3,0.583
66,2019-03-11,W,2,8,0,0.25
65,2019-03-08,L,5,16,3,0.406
64,2019-03-07,W,7,23,1,0.326
63,2019-03-05,L,8,25,4,0.4
59,2019-02-26,L,7,24,3,0.354
58,2019-02-23,L,4,19,2,0.263
57,2019-02-22,W,17,31,5,0.629
56,2019-02-14,L,11,29,3,0.431
55,2019-02-11,W,15,26,8,0.731
54,2019-02-09,W,12,22,6,0.682
53,2019-02-07,W,7,16,6,0.625
52,2019-02-05,W,9,26,6,0.462
51,2019-02-03,L,11,27,5,0.5
50,2019-02-01,W,14,23,10,0.826
49,2019-01-29,W,14,24,2,0.625
48,2019-01-27,W,12,21,8,0.762
47,2019-01-24,W,8,18,6,0.611
46,2019-01-22,W,10,21,3,0.548
45,2019-01-21,W,9,18,4,0.611
44,2019-01-19,W,8,20,4,0.5
43,2019-01-17,L,9,19,5,0.605
42,2019-01-15,L,6,18,5,0.472
41,2019-01-12,W,5,17,2,0.353
40,2019-01-10,L,11,25,3,0.5
39,2019-01-08,L,9,24,5,0.479
38,2019-01-06,L,7,18,3,0.472
37,2019-01-04,W,10,23,5,0.543
36,2019-01-02,W,15,29,2,0.552
35,2018-12-31,W,7,21,2,0.381
34,2018-12-30,L,12,24,3,0.562
32,2018-12-25,L,10,25,4,0.48
31,2018-12-23,L,11,24,3,0.521
30,2018-12-22,W,15,25,5,0.7
29,2018-12-19,W,15,27,4,0.63
28,2018-12-17,W,8,19,4,0.526
27,2018-12-15,W,11,19,5,0.711
26,2018-12-14,L,12,24,3,0.562
25,2018-12-12,L,9,17,3,0.618
24,2018-12-10,W,8,10,5,1.05
23,2018-12-07,L,6,16,2,0.438
22,2018-12-05,W,15,27,6,0.667
21,2018-12-03,W,7,18,2,0.444
20,2018-11-30,W,6,14,3,0.536
19,2018-11-28,W,8,13,1,0.654
18,2018-11-24,L,8,21,3,0.452
17,2018-11-23,W,8,21,3,0.452
16,2018-11-21,W,10,23,4,0.522
15,2018-11-19,L,9,24,4,0.458
14,2018-11-17,W,9,22,3,0.477
13,2018-11-14,W,13,22,5,0.705
12,2018-11-12,W,11,19,6,0.737
11,2018-11-10,L,8,21,3,0.452
10,2018-11-08,W,7,21,3,0.405
9,2018-11-07,W,7,16,1,0.469
8,2018-11-05,W,6,17,4,0.471
7,2018-11-02,W,6,12,4,0.667
6,2018-11-01,W,4,20,0,0.2
5,2018-10-30,W,9,18,3,0.583
4,2018-10-28,W,9,15,4,0.733
3,2018-10-25,L,7,22,2,0.364
2,2018-10-21,L,10,18,3,0.639
1,2018-10-19,L,7,27,3,0.315
0,2018-10-16,L,9,23,4,0.478
163,2018-04-11,W,13,20,8,0.85
162,2018-04-09,W,7,19,5,0.5
161,2018-04-07,W,6,17,3,0.441
160,2018-04-03,L,5,19,3,0.342
159,2018-04-01,W,9,24,3,0.438
158,2018-03-30,L,4,12,1,0.375
157,2018-03-29,L,9,20,3,0.525
156,2018-03-25,L,4,15,0,0.267
155,2018-03-23,W,3,16,0,0.188
154,2018-03-20,L,9,19,5,0.605
153,2018-03-18,W,6,14,0,0.429
152,2018-03-16,W,6,13,2,0.538
151,2018-03-13,W,5,12,2,0.5
