,Date,Result,FG,FGA,FG3,eFG
80,2019-04-09,W,7,12,0,0.583
79,2019-04-07,L,8,11,0,0.727
78,2019-04-05,W,6,10,0,0.6
77,2019-04-03,W,7,9,0,0.778
76,2019-04-01,W,8,10,0,0.8
75,2019-03-29,W,4,7,0,0.571
74,2019-03-27,W,9,12,0,0.75
73,2019-03-25,W,9,11,0,0.818
72,2019-03-23,W,9,11,0,0.818
71,2019-03-21,L,4,6,0,0.667
70,2019-03-20,W,7,7,0,1.0
69,2019-03-18,W,6,6,0,1.0
68,2019-03-16,W,9,12,0,0.75
67,2019-03-14,W,5,7,0,0.714
66,2019-03-13,W,6,9,0,0.667
65,2019-03-11,L,5,8,0,0.625
64,2019-03-08,L,3,6,0,0.5
63,2019-03-06,W,10,12,0,0.833
62,2019-03-04,L,8,11,0,0.727
61,2019-03-02,W,2,9,0,0.222
60,2019-02-28,W,5,8,0,0.625
59,2019-02-27,W,6,9,0,0.667
58,2019-02-23,W,4,8,0,0.5
57,2019-02-22,L,9,12,0,0.75
56,2019-02-12,L,4,5,0,0.8
55,2019-02-09,W,8,10,0,0.8
54,2019-02-06,W,5,8,0,0.625
53,2019-02-02,L,3,8,0,0.375
52,2019-02-01,W,7,7,0,1.0
51,2019-01-30,L,7,9,0,0.778
50,2019-01-27,W,7,8,0,0.875
49,2019-01-25,W,8,12,0,0.667
48,2019-01-23,W,4,11,0,0.364
47,2019-01-21,L,4,10,0,0.4
46,2019-01-18,W,8,10,0,0.8
45,2019-01-16,W,7,10,0,0.7
44,2019-01-14,W,6,9,0,0.667
43,2019-01-12,W,5,6,0,0.833
42,2019-01-11,W,4,10,0,0.4
41,2019-01-09,W,4,8,0,0.5
40,2019-01-07,L,4,8,0,0.5
39,2019-01-05,W,4,7,0,0.571
38,2019-01-04,W,4,4,0,1.0
37,2019-01-01,L,6,7,0,0.857
36,2018-12-29,W,10,12,0,0.833
35,2018-12-27,L,5,9,0,0.556
34,2018-12-25,W,7,10,0,0.7
33,2018-12-22,L,8,15,0,0.533
32,2018-12-21,W,4,9,0,0.444
31,2018-12-19,W,6,12,0,0.5
30,2018-12-17,L,6,10,0,0.6
29,2018-12-15,L,2,6,0,0.333
28,2018-12-12,W,4,7,0,0.571
27,2018-12-10,L,5,8,0,0.625
26,2018-12-09,L,5,9,0,0.556
25,2018-12-06,W,1,1,0,1.0
24,2018-12-04,W,5,7,0,0.714
23,2018-12-02,L,5,9,0,0.556
22,2018-11-30,W,8,12,0,0.667
21,2018-11-28,W,10,14,0,0.714
20,2018-11-26,L,6,7,0,0.857
19,2018-11-25,W,7,11,0,0.636
18,2018-11-23,L,5,7,0,0.714
17,2018-11-21,L,4,7,0,0.571
16,2018-11-19,L,5,8,0,0.625
15,2018-11-17,W,4,5,0,0.8
14,2018-11-16,L,5,10,0,0.5
13,2018-11-14,L,4,6,0,0.667
12,2018-11-12,W,5,7,0,0.714
11,2018-11-09,W,6,8,0,0.75
